Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner,Series,Team,Opposition,Venue
KK Ahmed,1,1,0,5,5,5,5,100,0,0,0,1,0,31-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
Shubman Gill,2,2,0,16,9,8,32,50,0,0,0,2,0,31-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
KD Karthik,2,2,1,38,38,38,41,92.68,0,0,1,5,1,28-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
HH Pandya,3,2,0,61,45,30.5,42,145.23,0,0,0,6,5,28-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
YS Chahal,5,2,2,18,18,,38,47.36,0,0,0,3,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
S Dhawan,5,5,1,188,75,47,230,81.73,0,2,0,23,1,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
MS Dhoni,3,2,1,49,48,49,39,125.64,0,0,0,5,1,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
KM Jadhav,5,3,1,57,34,28.5,62,91.93,0,0,0,6,1,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
V Kohli,3,3,0,148,60,49.33,178,83.14,0,1,0,14,1,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
Kuldeep Yadav,4,1,0,15,15,15,33,45.45,0,0,0,1,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
B Kumar,5,2,0,7,6,3.5,20,35,0,0,0,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
Mohammed Shami,4,1,0,1,1,1,1,100,0,0,0,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
AT Rayudu,5,5,2,190,90,63.33,231,82.25,0,1,1,18,6,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
V Shankar,3,1,0,45,45,45,64,70.31,0,0,0,4,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
RG Sharma,5,5,0,169,87,33.8,236,71.61,0,2,0,13,5,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
KM Jadhav,1,1,1,61,61,,57,107.01,0,1,0,7,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
YS Chahal,1,,,,,,,,,,,,,18-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
V Shankar,1,,,,,,,,,,,,,18-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
Mohammed Siraj,1,,,,,,,,,,,,,15-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
S Dhawan,3,3,0,55,32,18.33,75,73.33,0,0,1,5,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
MS Dhoni,3,3,2,193,87,193,264,73.1,0,3,0,9,3,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
RA Jadeja,3,1,0,8,8,8,13,61.53,0,0,0,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
KD Karthik,3,2,1,37,25,37,35,105.71,0,0,0,2,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
V Kohli,3,3,0,153,104,51,182,84.06,1,0,0,8,2,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
Kuldeep Yadav,2,1,0,3,3,3,6,50,0,0,0,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
B Kumar,3,1,1,29,29,,23,126.08,0,0,0,4,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
Mohammed Shami,3,1,0,1,1,1,2,50,0,0,0,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
AT Rayudu,2,2,0,24,24,12,38,63.15,0,0,1,2,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
RG Sharma,3,3,0,185,133,61.66,198,93.43,1,0,0,13,8,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
KK Ahmed,1,,,,,,,,,,,,,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
KM Jadhav,2,1,1,16,16,,7,228.57,0,0,0,3,0,29-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
JJ Bumrah,3,1,0,0,0,0,3,0,0,0,1,0,0,27-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
B Kumar,3,1,0,10,10,10,17,58.82,0,0,0,1,0,27-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
Kuldeep Yadav,4,1,1,15,15,,21,71.42,0,0,0,1,0,24-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
KK Ahmed,4,1,0,3,3,3,11,27.27,0,0,0,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
YS Chahal,3,1,0,3,3,3,5,60,0,0,0,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
S Dhawan,5,5,0,112,38,22.4,126,88.88,0,0,0,15,3,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
MS Dhoni,5,3,0,50,23,16.66,51,98.03,0,0,0,2,1,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
RA Jadeja,4,2,1,20,13,20,18,111.11,0,0,0,1,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
V Kohli,5,5,2,453,157,151,401,112.96,3,0,0,52,7,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
Mohammed Shami,2,1,1,0,0,,1,0,0,0,0,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
RR Pant,3,2,0,41,24,20.5,31,132.25,0,0,0,5,1,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
AT Rayudu,5,4,1,217,100,72.33,214,101.4,1,1,0,19,5,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
RG Sharma,5,5,2,389,162,129.66,327,118.96,2,1,0,43,16,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
UT Yadav,2,,,,,,,,,,,,,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
DL Chahar,1,1,0,12,12,12,14,85.71,0,0,0,1,0,25-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
S Kaul,1,1,0,0,0,0,1,0,0,0,1,0,0,25-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
MK Pandey,1,1,0,8,8,8,15,53.33,0,0,0,0,0,25-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KL Rahul,1,1,0,60,60,60,66,90.9,0,1,0,5,1,25-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
RA Jadeja,4,2,0,48,25,24,67,71.64,0,0,0,2,0,21-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
JJ Bumrah,4,,,,,,,,,,,,,19-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
HH Pandya,1,,,,,,,,,,,,,19-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KK Ahmed,2,1,1,1,1,,1,100,0,0,0,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
S Dhawan,5,5,0,342,127,68.4,335,102.08,2,0,0,44,6,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
MS Dhoni,6,4,0,77,36,19.25,124,62.09,0,0,1,6,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KM Jadhav,6,3,2,70,28,70,80,87.5,0,0,0,3,2,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KD Karthik,6,5,2,146,44,48.66,205,71.21,0,0,0,10,2,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
Kuldeep Yadav,6,3,2,14,9,14,16,87.5,0,0,0,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
B Kumar,5,2,0,30,21,15,49,61.22,0,0,0,1,1,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
AT Rayudu,6,6,2,175,60,43.75,218,80.27,0,2,0,12,6,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
RG Sharma,5,5,2,317,111,105.66,339,93.51,1,2,0,25,13,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
SN Thakur,1,1,0,0,0,0,3,0,0,0,1,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
YS Chahal,5,,,,,,,,,,,,,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KD Karthik,1,1,0,21,21,21,22,95.45,0,0,0,3,0,17-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
B Kumar,1,1,0,21,21,21,35,60,0,0,0,1,0,17-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
SN Thakur,1,1,1,22,22,,13,169.23,0,0,0,0,2,17-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
YS Chahal,3,1,0,12,12,12,12,100,0,0,0,2,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
S Dhawan,3,3,0,120,44,40,106,113.2,0,0,0,21,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
MS Dhoni,3,2,0,79,42,39.5,125,63.2,0,0,0,6,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
S Kaul,2,1,0,1,1,1,2,50,0,0,0,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
V Kohli,3,3,0,191,75,63.66,210,90.95,0,2,0,17,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
Kuldeep Yadav,3,1,1,8,8,,26,30.76,0,0,0,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
HH Pandya,3,2,0,42,21,21,43,97.67,0,0,0,3,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
KL Rahul,2,2,1,9,9,9,20,45,0,0,1,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
SK Raina,3,2,0,47,46,23.5,67,70.14,0,0,0,1,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
RG Sharma,3,3,1,154,137,77,158,97.46,1,0,0,17,4,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
UT Yadav,2,1,0,0,0,0,2,0,0,0,1,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
SN Thakur,1,,,,,,,,,,,,,16-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
SS Iyer,3,2,0,48,30,24,58,82.75,0,0,0,4,0,10-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
S Dhawan,6,6,1,323,109,64.6,310,104.19,1,2,0,47,2,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
MS Dhoni,6,4,2,69,42,34.5,85,81.17,0,0,0,5,1,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
KM Jadhav,3,1,0,1,1,1,3,33.33,0,0,0,0,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
V Kohli,6,6,3,558,160,186,561,99.46,3,1,0,54,6,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
Kuldeep Yadav,6,2,2,2,2,,4,50,0,0,0,0,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
B Kumar,5,3,2,40,19,40,46,86.95,0,0,0,3,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
HH Pandya,6,4,1,26,14,8.66,35,74.28,0,0,1,1,1,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
AM Rahane,6,5,1,140,79,35,182,76.92,0,1,0,9,2,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
RG Sharma,6,6,0,170,115,28.33,205,82.92,1,0,1,19,6,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
JJ Bumrah,6,,,,,,,,,,,,,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
YS Chahal,6,,,,,,,,,,,,,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
Washington Sundar,1,,,,,,,,,,,,,13-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
JJ Bumrah,3,1,0,0,0,0,15,0,0,0,1,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
YS Chahal,3,1,1,0,0,,9,0,0,0,0,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
S Dhawan,3,3,1,168,100,84,158,106.32,1,1,1,22,2,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
MS Dhoni,3,2,0,72,65,36,92,78.26,0,1,0,10,3,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
SS Iyer,3,3,0,162,88,54,160,101.25,0,2,0,18,3,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
KD Karthik,3,2,1,26,26,26,49,53.06,0,0,1,3,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
Kuldeep Yadav,2,1,0,19,19,19,25,76,0,0,0,4,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
B Kumar,3,1,0,0,0,0,5,0,0,0,1,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
MK Pandey,3,1,0,2,2,2,15,13.33,0,0,0,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
HH Pandya,3,2,0,18,10,9,15,120,0,0,0,3,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
RG Sharma,3,3,1,217,208,108.5,180,120.55,1,0,0,13,13,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
AR Patel,2,,,,,,,,,,,,,25-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
S Dhawan,3,3,0,91,68,30.33,116,78.44,0,1,0,9,2,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
MS Dhoni,3,3,1,68,25,34,80,85,0,0,0,8,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
KM Jadhav,3,2,0,30,18,15,35,85.71,0,0,0,2,1,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
KD Karthik,3,3,2,105,64,105,142,73.94,0,1,0,8,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
V Kohli,3,3,0,263,121,87.66,260,101.15,2,0,0,21,4,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
Kuldeep Yadav,1,1,1,0,0,,0,,0,0,0,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
B Kumar,3,1,0,26,26,26,15,173.33,0,0,0,2,2,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
HH Pandya,3,3,0,54,30,18,53,101.88,0,0,0,4,2,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
RG Sharma,3,3,0,174,147,58,175,99.42,1,0,0,19,4,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
JJ Bumrah,3,,,,,,,,,,,,,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
YS Chahal,3,,,,,,,,,,,,,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
Mohammed Shami,1,1,1,6,6,,6,100,0,0,0,1,0,28-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
AR Patel,2,1,0,5,5,5,6,83.33,0,0,0,0,0,28-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
UT Yadav,1,1,1,2,2,,2,100,0,0,0,0,0,28-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
JJ Bumrah,4,1,1,10,10,,6,166.66,0,0,0,2,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
YS Chahal,4,1,0,1,1,1,2,50,0,0,0,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
MS Dhoni,5,4,1,100,79,33.33,114,87.71,0,1,0,6,3,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
KM Jadhav,5,5,1,138,67,34.5,159,86.79,0,1,0,15,2,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
V Kohli,5,5,0,180,92,36,222,81.08,0,1,1,15,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
Kuldeep Yadav,4,2,1,0,0,0,2,0,0,0,1,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
B Kumar,4,2,1,52,32,52,63,82.53,0,0,0,6,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
MK Pandey,5,5,2,83,36,27.66,83,100,0,0,1,11,1,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
HH Pandya,5,4,0,222,83,55.5,204,108.82,0,2,0,13,12,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
AM Rahane,5,5,0,244,70,48.8,295,82.71,0,4,0,29,1,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
RG Sharma,5,5,0,296,125,59.2,284,104.22,1,2,0,22,14,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
AM Rahane,1,1,0,5,5,5,17,29.41,0,0,0,0,0,03-Sep-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
MK Pandey,2,2,1,86,50,86,95,90.52,0,1,0,6,0,31-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
Kuldeep Yadav,2,,,,,,,,,,,,,31-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
SN Thakur,2,,,,,,,,,,,,,31-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
S Dhawan,4,4,1,190,132,63.33,149,127.51,1,0,0,28,4,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
MS Dhoni,5,4,4,162,67,,197,82.23,0,1,0,10,2,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
KM Jadhav,4,3,0,64,63,21.33,78,82.05,0,1,1,7,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
V Kohli,5,5,2,330,131,110,295,111.86,2,1,0,37,3,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
B Kumar,4,1,1,53,53,,80,66.25,0,1,0,4,1,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
HH Pandya,4,2,0,19,19,9.5,21,90.47,0,0,1,1,1,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
AR Patel,4,1,0,6,6,6,9,66.66,0,0,0,0,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
KL Rahul,4,3,0,28,17,9.33,38,73.68,0,0,0,2,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
RG Sharma,5,5,1,302,124,75.5,311,97.1,2,1,0,33,8,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
JJ Bumrah,5,,,,,,,,,,,,,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
YS Chahal,4,,,,,,,,,,,,,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
RA Jadeja,2,1,0,11,11,11,11,100,0,0,0,1,0,02-Jul-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
KD Karthik,2,2,1,52,50,52,71,73.23,0,1,0,5,0,02-Jul-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
Mohammed Shami,2,1,0,1,1,1,2,50,0,0,0,0,0,02-Jul-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
S Dhawan,5,5,0,161,87,32.2,167,96.4,0,2,0,19,2,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
MS Dhoni,5,4,3,154,78,154,215,71.62,0,2,0,7,2,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
KM Jadhav,5,3,2,63,40,63,46,136.95,0,0,0,6,1,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
V Kohli,5,5,2,244,111,81.33,262,93.12,1,1,0,19,6,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
Kuldeep Yadav,5,1,1,2,2,,6,33.33,0,0,0,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
HH Pandya,5,2,0,24,20,12,26,92.3,0,0,0,1,1,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
AM Rahane,5,5,0,336,103,67.2,436,77.06,1,3,0,34,3,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
UT Yadav,5,1,0,0,0,0,1,0,0,0,1,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
Yuvraj Singh,3,3,0,57,39,19,75,76,0,0,0,5,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
R Ashwin,3,,,,,,,,,,,,,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
B Kumar,3,,,,,,,,,,,,,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
R Ashwin,3,1,0,1,1,1,3,33.33,0,0,0,0,0,11-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
JJ Bumrah,5,1,0,1,1,1,9,11.11,0,0,0,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
S Dhawan,5,5,0,338,125,67.6,332,101.8,1,2,0,44,4,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
MS Dhoni,5,2,0,67,63,33.5,68,98.52,0,1,0,7,2,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
RA Jadeja,5,2,1,15,15,15,26,57.69,0,0,0,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
KM Jadhav,5,2,1,34,25,34,26,130.76,0,0,0,5,1,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
V Kohli,5,5,3,258,96,129,261,98.85,0,3,1,26,4,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
B Kumar,5,1,1,1,1,,8,12.5,0,0,0,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
HH Pandya,5,3,1,105,76,52.5,54,194.44,0,1,0,4,10,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
RG Sharma,5,5,1,304,123,76,350,86.85,1,2,1,29,7,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
Yuvraj Singh,5,4,1,105,53,35,106,99.05,0,1,0,13,2,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
UT Yadav,2,,,,,,,,,,,,,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
AM Rahane,1,1,0,1,1,1,6,16.66,0,0,0,0,0,22-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
B Kumar,2,1,1,0,0,,1,0,0,0,0,0,0,19-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
R Ashwin,3,2,1,16,15,16,13,123.07,0,0,0,0,1,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
JJ Bumrah,3,1,1,0,0,,0,,0,0,0,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
S Dhawan,2,2,0,12,11,6,25,48,0,0,0,2,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
MS Dhoni,3,3,0,165,134,55,164,100.6,1,0,0,12,7,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
RA Jadeja,3,3,1,39,16,19.5,29,134.48,0,0,0,5,1,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
KM Jadhav,3,3,0,232,120,77.33,161,144.09,1,1,0,27,6,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
V Kohli,3,3,0,185,122,61.66,173,106.93,1,1,0,18,5,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
